age,total,male,female
0,391666.6666666667,195833.33333333334,195833.33333333334
1,391666.6666666667,195833.33333333334,195833.33333333334
2,391666.6666666667,195833.33333333334,195833.33333333334
3,391666.6666666667,195833.33333333334,195833.33333333334
4,391666.6666666667,195833.33333333334,195833.33333333334
5,391666.6666666667,195833.33333333334,195833.33333333334
6,391666.6666666667,195833.33333333334,195833.33333333334
7,391666.6666666667,195833.33333333334,195833.33333333334
8,391666.6666666667,195833.33333333334,195833.33333333334
9,391666.6666666667,195833.33333333334,195833.33333333334
10,391666.6666666667,195833.33333333334,195833.33333333334
11,391666.6666666667,195833.33333333334,195833.33333333334
12,391666.6666666667,195833.33333333334,195833.33333333334
13,391666.6666666667,195833.33333333334,195833.33333333334
14,391666.6666666667,195833.33333333334,195833.33333333334
15,391666.6666666667,195833.33333333334,195833.33333333334
16,391666.6666666667,195833.33333333334,195833.33333333334
17,391666.6666666667,195833.33333333334,195833.33333333334
18,744893.6170212766,372446.8085106383,372446.8085106383
19,744893.6170212766,372446.8085106383,372446.8085106383
20,744893.6170212766,372446.8085106383,372446.8085106383
21,744893.6170212766,372446.8085106383,372446.8085106383
22,744893.6170212766,372446.8085106383,372446.8085106383
23,744893.6170212766,372446.8085106383,372446.8085106383
24,744893.6170212766,372446.8085106383,372446.8085106383
25,744893.6170212766,372446.8085106383,372446.8085106383
26,744893.6170212766,372446.8085106383,372446.8085106383
27,744893.6170212766,372446.8085106383,372446.8085106383
28,744893.6170212766,372446.8085106383,372446.8085106383
29,744893.6170212766,372446.8085106383,372446.8085106383
30,744893.6170212766,372446.8085106383,372446.8085106383
31,744893.6170212766,372446.8085106383,372446.8085106383
32,744893.6170212766,372446.8085106383,372446.8085106383
33,744893.6170212766,372446.8085106383,372446.8085106383
34,744893.6170212766,372446.8085106383,372446.8085106383
35,744893.6170212766,372446.8085106383,372446.8085106383
36,744893.6170212766,372446.8085106383,372446.8085106383
37,744893.6170212766,372446.8085106383,372446.8085106383
38,744893.6170212766,372446.8085106383,372446.8085106383
39,744893.6170212766,372446.8085106383,372446.8085106383
40,744893.6170212766,372446.8085106383,372446.8085106383
41,744893.6170212766,372446.8085106383,372446.8085106383
42,744893.6170212766,372446.8085106383,372446.8085106383
43,744893.6170212766,372446.8085106383,372446.8085106383
44,744893.6170212766,372446.8085106383,372446.8085106383
45,744893.6170212766,372446.8085106383,372446.8085106383
46,744893.6170212766,372446.8085106383,372446.8085106383
47,744893.6170212766,372446.8085106383,372446.8085106383
48,744893.6170212766,372446.8085106383,372446.8085106383
49,744893.6170212766,372446.8085106383,372446.8085106383
50,744893.6170212766,372446.8085106383,372446.8085106383
51,744893.6170212766,372446.8085106383,372446.8085106383
52,744893.6170212766,372446.8085106383,372446.8085106383
53,744893.6170212766,372446.8085106383,372446.8085106383
54,744893.6170212766,372446.8085106383,372446.8085106383
55,744893.6170212766,372446.8085106383,372446.8085106383
56,744893.6170212766,372446.8085106383,372446.8085106383
57,744893.6170212766,372446.8085106383,372446.8085106383
58,744893.6170212766,372446.8085106383,372446.8085106383
59,744893.6170212766,372446.8085106383,372446.8085106383
60,744893.6170212766,372446.8085106383,372446.8085106383
61,744893.6170212766,372446.8085106383,372446.8085106383
62,744893.6170212766,372446.8085106383,372446.8085106383
63,744893.6170212766,372446.8085106383,372446.8085106383
64,744893.6170212766,372446.8085106383,372446.8085106383
65,263888.8888888889,131944.44444444444,131944.44444444444
66,263888.8888888889,131944.44444444444,131944.44444444444
67,263888.8888888889,131944.44444444444,131944.44444444444
68,263888.8888888889,131944.44444444444,131944.44444444444
69,263888.8888888889,131944.44444444444,131944.44444444444
70,263888.8888888889,131944.44444444444,131944.44444444444
71,263888.8888888889,131944.44444444444,131944.44444444444
72,263888.8888888889,131944.44444444444,131944.44444444444
73,263888.8888888889,131944.44444444444,131944.44444444444
74,263888.8888888889,131944.44444444444,131944.44444444444
75,263888.8888888889,131944.44444444444,131944.44444444444
76,263888.8888888889,131944.44444444444,131944.44444444444
77,263888.8888888889,131944.44444444444,131944.44444444444
78,263888.8888888889,131944.44444444444,131944.44444444444
79,263888.8888888889,131944.44444444444,131944.44444444444
80,263888.8888888889,131944.44444444444,131944.44444444444
81,263888.8888888889,131944.44444444444,131944.44444444444
82,263888.8888888889,131944.44444444444,131944.44444444444
83,263888.8888888889,131944.44444444444,131944.44444444444
84,263888.8888888889,131944.44444444444,131944.44444444444
85,263888.8888888889,131944.44444444444,131944.44444444444
86,263888.8888888889,131944.44444444444,131944.44444444444
87,263888.8888888889,131944.44444444444,131944.44444444444
88,263888.8888888889,131944.44444444444,131944.44444444444
89,263888.8888888889,131944.44444444444,131944.44444444444
90,263888.8888888889,131944.44444444444,131944.44444444444
91,263888.8888888889,131944.44444444444,131944.44444444444
92,263888.8888888889,131944.44444444444,131944.44444444444
93,263888.8888888889,131944.44444444444,131944.44444444444
94,263888.8888888889,131944.44444444444,131944.44444444444
95,263888.8888888889,131944.44444444444,131944.44444444444
96,263888.8888888889,131944.44444444444,131944.44444444444
97,263888.8888888889,131944.44444444444,131944.44444444444
98,263888.8888888889,131944.44444444444,131944.44444444444
99,263888.8888888889,131944.44444444444,131944.44444444444
100,263888.8888888889,131944.44444444444,131944.44444444444
