age,male,female,total,
0,134066.229," 134,066 "," 268,132 ",
1,195802.2839,195802.2839,391604.5678,
2,195802.2839,195802.2839,391604.5678,
3,195802.2839,195802.2839,391604.5678,
4,195802.2839,195802.2839,391604.5678,
5,195802.2839,195802.2839,391604.5678,
6,195802.2839,195802.2839,391604.5678,
7,195802.2839,195802.2839,391604.5678,
8,195802.2839,195802.2839,391604.5678,
9,195802.2839,195802.2839,391604.5678,
10,195802.2839,195802.2839,391604.5678,
11,195802.2839,195802.2839,391604.5678,
12,195802.2839,195802.2839,391604.5678,
13,195802.2839,195802.2839,391604.5678,
14,195802.2839,195802.2839,391604.5678,
15,195802.2839,195802.2839,391604.5678,
16,195802.2839,195802.2839,391604.5678,
17,195802.2839,195802.2839,391604.5678," 6,925,410 "
18,195802.2839,195802.2839,391604.5678," 34,576,726 "
19,372387.7569,372387.7569,744775.5139,
20,372387.7569,372387.7569,744775.5139,
21,372387.7569,372387.7569,744775.5139,
22,372387.7569,372387.7569,744775.5139,
23,372387.7569,372387.7569,744775.5139,
24,372387.7569,372387.7569,744775.5139,
25,372387.7569,372387.7569,744775.5139,
26,372387.7569,372387.7569,744775.5139,
27,372387.7569,372387.7569,744775.5139,
28,372387.7569,372387.7569,744775.5139,
29,372387.7569,372387.7569,744775.5139,
30,372387.7569,372387.7569,744775.5139,
31,372387.7569,372387.7569,744775.5139,
32,372387.7569,372387.7569,744775.5139,
33,372387.7569,372387.7569,744775.5139,
34,372387.7569,372387.7569,744775.5139,
35,372387.7569,372387.7569,744775.5139,
36,372387.7569,372387.7569,744775.5139,
37,372387.7569,372387.7569,744775.5139,
38,372387.7569,372387.7569,744775.5139,
39,372387.7569,372387.7569,744775.5139,
40,370896.7149,370896.7149,741793.4297,
41,370896.7149,370896.7149,741793.4297,
42,370896.7149,370896.7149,741793.4297,
43,370896.7149,370896.7149,741793.4297,
44,370896.7149,370896.7149,741793.4297,
45,370896.7149,370896.7149,741793.4297,
46,370896.7149,370896.7149,741793.4297,
47,370896.7149,370896.7149,741793.4297,
48,370896.7149,370896.7149,741793.4297,
49,370896.7149,370896.7149,741793.4297,
50,370896.7149,370896.7149,741793.4297,
51,370896.7149,370896.7149,741793.4297,
52,370896.7149,370896.7149,741793.4297,
53,370896.7149,370896.7149,741793.4297,
54,370896.7149,370896.7149,741793.4297,
55,370896.7149,370896.7149,741793.4297,
56,370896.7149,370896.7149,741793.4297,
57,370896.7149,370896.7149,741793.4297,
58,370896.7149,370896.7149,741793.4297,
59,370896.7149,370896.7149,741793.4297,
60,370896.7149,370896.7149,741793.4297,
61,370896.7149,370896.7149,741793.4297,
62,370896.7149,370896.7149,741793.4297,
63,370896.7149,370896.7149,741793.4297,
64,370896.7149,370896.7149,741793.4297,
65,370896.7149,370896.7149," 741,793 "," 9,584,235 "
66,131395.3023,131395.3023," 262,791 ",
67,131395.3023,131395.3023," 262,791 ",
68,131395.3023,131395.3023," 262,791 ",
69,131395.3023,131395.3023," 262,791 ",
70,129414.4686,129414.4686," 258,829 ",
71,129414.4686,129414.4686," 258,829 ",
72,129414.4686,129414.4686," 258,829 ",
73,129414.4686,129414.4686," 258,829 ",
74,129414.4686,129414.4686," 258,829 ",
75,129414.4686,129414.4686," 258,829 ",
76,129414.4686,129414.4686," 258,829 ",
77,129414.4686,129414.4686," 258,829 ",
78,129414.4686,129414.4686," 258,829 ",
79,129414.4686,129414.4686," 258,829 ",
80,129414.4686,129414.4686," 258,829 ",
81,129414.4686,129414.4686," 258,829 ",
82,129414.4686,129414.4686," 258,829 ",
83,129414.4686,129414.4686," 258,829 ",
84,129414.4686,129414.4686," 258,829 ",
85,129414.4686,129414.4686," 258,829 ",
86,129414.4686,129414.4686," 258,829 ",
87,129414.4686,129414.4686," 258,829 ",
88,129414.4686,129414.4686," 258,829 ",
89,129414.4686,129414.4686," 258,829 ",
90,118850.0222,118850.0222," 237,700 ",
91,118850.0222,118850.0222," 237,700 ",
92,118850.0222,118850.0222," 237,700 ",
93,118850.0222,118850.0222," 237,700 ",
94,118850.0222,118850.0222," 237,700 ",
95,118850.0222,118850.0222," 237,700 ",
96,118850.0222,118850.0222," 237,700 ",
97,118850.0222,118850.0222," 237,700 ",
98,118850.0222,118850.0222," 237,700 ",
99,118850.0222,118850.0222," 237,700 ",
100,118850.0222,118850.0222," 237,700 ",
